time,open,high,low,close,volume
2021-09-03 14:10:00,589.89,590.1,589.86,590.1,7567
2021-09-03 14:15:00,590.26,590.525,590.145,590.23,10432
2021-09-03 14:20:00,590.375,590.74,590.375,590.69,6019
2021-09-03 14:25:00,590.6316,591.13,590.6316,590.92,16430
2021-09-03 14:30:00,590.9209999999999,590.9209999999999,590.57,590.6,6434
2021-09-03 14:35:00,590.6681,591.28,590.53,590.84,30428
2021-09-03 14:40:00,591.0,591.83,591.0,591.6,26933
2021-09-03 14:45:00,591.5301,591.8783,591.0101,591.505,15007
2021-09-03 14:50:00,591.23,591.3,591.0713,591.2099,15853
2021-09-03 14:55:00,591.13,591.6,590.96,591.43,15319
2021-09-03 15:00:00,591.3,591.32,591.06,591.0767,10388
2021-09-03 15:05:00,590.91,591.18,590.8161,591.04,13183
2021-09-03 15:10:00,591.02,591.2583,590.78,591.125,13348
2021-09-03 15:15:00,591.03,591.4,590.9,591.35,12948
2021-09-03 15:20:00,591.34,591.8,591.17,591.22,21087
2021-09-03 15:25:00,591.16,591.21,589.5456,589.75,52444
2021-09-03 15:30:00,589.61,590.3,589.61,590.18,20346
2021-09-03 15:35:00,590.17,590.68,590.17,590.68,41294
2021-09-03 15:40:00,590.72,590.79,589.8406,590.01,40683
2021-09-03 15:45:00,590.0,590.34,589.83,590.15,28757
2021-09-03 15:50:00,590.13,590.26,589.69,589.87,42491
2021-09-03 15:55:00,590.0,590.91,589.79,590.83,74538
2021-09-03 16:00:00,590.72,590.97,590.18,590.35,130150
2021-09-03 16:05:00,590.53,592.0,590.39,590.53,21743
2021-09-03 16:10:00,590.53,590.53,590.0,590.27,1494
2021-09-03 16:15:00,590.53,590.53,590.45,590.45,1813
2021-09-03 16:30:00,590.66,590.66,590.45,590.45,738
2021-09-03 16:40:00,590.29,590.35,590.29,590.35,718
2021-09-03 16:45:00,590.53,590.53,590.53,590.53,35635
2021-09-03 16:50:00,590.53,590.53,590.53,590.53,159
2021-09-03 16:55:00,590.99,591.0,590.99,591.0,883
2021-09-03 17:00:00,591.0,591.0,591.0,591.0,469
